國內生產毛額(名目金額)-按行業分,,,,,,,,,,,,,
單位：新台幣百萬元,,,,,,,,,,,,,
年,總GDP,農林漁牧業GDP,"礦業及土
石採取業GDP",製造業GDP," 電力及燃
氣供應業GDP","用水供應及
汙染整治業GDP",營造業GDP,"批發及
零售業GDP","運輸及
倉儲業GDP","資訊及通
訊傳播業GDP","金融及
保險業GDP",不動產業GDP,其他GDP
91年,10 630 911 , 191 579 , 22 819 ,2 705 103 , 206 376 , 53 502 , 261 795 ,1 747 049 , 423 802 , 402 831 , 836 876 , 850 587 ,2 897 064 
92年,10 924 029 , 186 528 , 18 906 ,2 934 113 , 203 727 , 59 273 , 253 930 ,1 789 728 , 411 256 , 412 955 , 813 491 , 887 168 ,3 013 085 
93年,11 596 241 , 193 527 , 20 620 ,3 203 799 , 178 745 , 64 849 , 288 654 ,1 947 083 , 430 301 , 419 061 , 865 702 , 919 903 ,3 120 609 
94年,12 036 675 , 198 375 , 18 765 ,3 286 616 , 172 285 , 71 364 , 285 328 ,2 080 053 , 417 916 , 421 316 , 907 438 , 954 835 ,3 258 665 
95年,12 572 587 , 199 407 , 18 926 ,3 413 111 , 158 275 , 78 489 , 332 954 ,2 196 273 , 399 169 , 426 637 , 900 850 ,1 038 864 ,3 409 632 
96年,13 363 917 , 193 556 , 22 912 ,3 692 393 , 134 848 , 86 631 , 353 506 ,2 311 050 , 413 775 , 446 733 , 942 335 ,1 093 069 ,3 500 037 
97年,13 115 096 , 203 918 , 23 578 ,3 494 577 , 39 863 , 87 247 , 354 544 ,2 320 224 , 390 830 , 453 969 , 910 720 ,1 111 560 ,3 567 398 
98年,12 919 445 , 216 457 , 18 039 ,3 353 669 , 187 838 , 86 487 , 318 379 ,2 224 167 , 367 045 , 453 127 , 795 150 ,1 152 525 ,3 583 303 
99年,14 060 345 , 226 177 , 19 014 ,4 021 323 , 182 742 , 94 531 , 365 180 ,2 368 397 , 433 454 , 464 694 , 867 976 ,1 194 384 ,3 787 034 
100年,14 262 201 , 247 587 , 17 178 ,4 031 893 , 125 688 , 96 952 , 380 550 ,2 443 843 , 405 824 , 460 870 , 909 011 ,1 218 783 ,3 924 022 
101年,14 677 765 , 247 313 , 15 405 ,4 120 261 , 133 807 , 99 245 , 381 807 ,2 450 734 , 423 104 , 461 419 , 931 028 ,1 249 372 ,4 032 513 
102年,15 270 728 , 264 418 , 14 267 ,4 445 009 , 199 987 , 95 333 , 393 033 ,2 560 534 , 429 057 , 474 026 , 970 475 ,1 296 970 ,4 120 688 
103年,16 258 047 , 302 781 , 14 328 ,5 056 638 , 238 785 , 93 974 , 410 455 ,2 606 050 , 468 163 , 497 915 ,1 054 084 ,1 328 010 ,4 272 274 
104年,17 055 080 , 298 855 , 13 257 ,5 348 932 , 303 461 , 91 682 , 420 326 ,2 664 745 , 516 593 , 526 127 ,1 099 345 ,1 367 956 ,4 371 341 
105年,17 555 268 , 327 502 , 10 818 ,5 655 706 , 296 428 , 98 007 , 411 154 ,2 678 007 , 511 241 , 549 074 ,1 124 827 ,1 399 263 ,4 493 241 
106年,17 983 347 , 328 835 , 10 536 ,5 873 213 , 242 766 , 106 055 , 417 259 ,2 781 031 , 546 338 , 555 818 ,1 178 408 ,1 437 581 ,4 576 909 
107年,18 375 022 , 312 562 , 11 111 ,5 929 411 , 209 513 , 108 258 , 441 365 ,2 869 765 , 546 497 , 561 040 ,1 228 512 ,1 488 924 ,4 744 916 
108年,18 908 632 , 317 772 , 11 865 ,5 846 418 , 223 846 , 111 142 , 501 844 ,2 970 507 , 565 263 , 586 413 ,1 276 043 ,1 553 416 ,4 918 115 
109年,19 914 806 , 313 481 , 12 743 ,6 407 654 , 296 142 , 115 730 , 570 258 ,3 066 032 , 552 003 , 600 967 ,1 330 092 ,1 626 232 ,4 945 020 
110年,21 663 231 , 310 822 , 12 076 ,7 427 687 , 226 669 , 120 689 , 646 510 ,3 383 157 , 824 843 , 652 836 ,1 468 891 ,1 671 325 ,5 043 167 
111年,22 679 843 , 315 121 , 11 859 ,7 770 896 ,- 116 820 , 126 615 , 716 326 ,3 609 847 , 882 765 , 696 784 ,1 444 334 ,1 711 140 ,5 459 018 
112年,23 544 961 , 346 947 , 11 749 ,7 665 476 , 29 102 , 124 871 , 733 759 ,3 623 153 , 751 721 , 767 933 ,1 506 728 ,1 822 236 ,5 897 143 



