行業別大類,行業別中類,行業別小類,月份,用電量
A.農、林、漁、牧業,01 農、牧業,011 農作物栽培業,01,34522646
A.農、林、漁、牧業,01 農、牧業,012 畜牧業,01,42685374
A.農、林、漁、牧業,01 農、牧業,013 農事及畜牧服務業,01,53869530
A.農、林、漁、牧業,02 林業,021 林業,01,150096
A.農、林、漁、牧業,03 漁業,031 漁撈業,01,124329
A.農、林、漁、牧業,03 漁業,032 水產養殖業,01,73120077
B.礦業及土石採取業,05 石油及天然氣礦業,,01,1011358
B.礦業及土石採取業,06 砂、石採取及其他礦業,,01,16172358
C.製造業,08 食品及飲料製造業,081 肉類加工及保藏業,01,33191727
C.製造業,08 食品及飲料製造業,082 水產加工及保藏業,01,13957702
C.製造業,08 食品及飲料製造業,083 蔬果加工及保藏業,01,14999726
C.製造業,08 食品及飲料製造業,084 動植物油脂製造業,01,13759053
C.製造業,08 食品及飲料製造業,085 乳品製造業,01,16915609
C.製造業,08 食品及飲料製造業,086 碾榖、磨粉及澱粉製品製造業,01,19702046
C.製造業,08 食品及飲料製造業,087 動物飼品製造業,01,29826503
C.製造業,08 食品及飲料製造業,089 其他食品製造業,01,126895920
C.製造業,09 飲料製造業,091 酒精飲料製造業,01,10083747
C.製造業,09 飲料製造業,092 非酒精飲料製造業,01,25384084
C.製造業,10 菸草製造業,,01,4019317
C.製造業,11 紡織業,111 紡紗業,01,130781185
C.製造業,11 紡織業,112 織布業,01,206777705
C.製造業,11 紡織業,113 不織布業,01,27900518
C.製造業,11 紡織業,114 染整業,01,67449218
C.製造業,11 紡織業,115 紡織品製造業,01,20988322
C.製造業,12 成衣及服飾品製造業,121 成衣製造業,01,11941089
C.製造業,12 成衣及服飾品製造業,123 服飾品製造業,01,3542909
C.製造業,13 皮革、毛皮及其製品製造業,,01,13244152
C.製造業,14 木竹製品製造業,,01,10020051
C.製造業,15 紙漿、紙及紙製品製造業,151 紙漿、紙及紙板製造業,01,105497788
C.製造業,15 紙漿、紙及紙製品製造業,152 瓦楞紙板及紙容器製造業,01,32567193
C.製造業,15 紙漿、紙及紙製品製造業,153 其他紙製品製造業,01,33161270
C.製造業,16 印刷及資料儲存媒體複製業,,01,36092728
C.製造業,17 石油及煤製品製造業,,01,132595256
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,181 化學原材料製造業,01,423106660
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,183 肥料及氮化合物製造業,01,11684402
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,184 塑膠及合成橡膠原料製造業,01,235816887
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,185 人造纖維製造業,01,125605436
C.製造業,19 其他化學製品製造業,191 農藥及環境用藥製造業,01,5701953
C.製造業,19 其他化學製品製造業,192 塗料、染料及顏料製造業,01,18375939
C.製造業,19 其他化學製品製造業,193 清潔用品及化粧品製造業,01,11671330
C.製造業,19 其他化學製品製造業,199 未分類其他化學製品製造業,01,81642038
C.製造業,20 藥品及醫用化學製品製造業,,01,62765655
C.製造業,21 橡膠製品製造業,,01,82066685
C.製造業,22 塑膠製品製造業,,01,428136959
C.製造業,23 非金屬礦物製品製造業,231 玻璃及其製品製造業,01,251362031
C.製造業,23 非金屬礦物製品製造業,232 耐火、黏土建材及其他陶瓷製品製造業,01,32324492
C.製造業,23 非金屬礦物製品製造業,233 水泥及其製品製造業,01,138182874
C.製造業,23 非金屬礦物製品製造業,234 石材製品製造業,01,9303426
C.製造業,23 非金屬礦物製品製造業,239 其他非金屬礦物製品製造業,01,40482568
C.製造業,24 基本金屬製造業,241 鋼鐵製造業,01,945852825
C.製造業,24 基本金屬製造業,242 鋁製造業,01,66616762
C.製造業,24 基本金屬製造業,243 銅製造業,01,96141539
C.製造業,24 基本金屬製造業,249 其他基本金屬製造業,01,26882992
C.製造業,25 金屬製品製造業,251 金屬刀具、手工具及模具製造業,01,88537576
C.製造業,25 金屬製品製造業,252 金屬結構及建築組件製造業,01,72501809
C.製造業,25 金屬製品製造業,253 金屬容器製造業,01,12639732
C.製造業,25 金屬製品製造業,254 金屬加工處理業,01,179013502
C.製造業,25 金屬製品製造業,259 其他金屬製品製造業,01,166704377
C.製造業,26 電子零組件製造業,261 半導體製造業,01,2079253956
C.製造業,26 電子零組件製造業,262 被動電子元件製造業,01,133287750
C.製造業,26 電子零組件製造業,263 印刷電路板製造業,01,267356695
C.製造業,26 電子零組件製造業,264 光電材料及元件製造業,01,993018823
C.製造業,26 電子零組件製造業,269 其他電子零組件製造業,01,251857230
C.製造業,27 電腦、電子產品及光學製品製造業,271 電腦及其週邊設備製造業,01,43110253
C.製造業,27 電腦、電子產品及光學製品製造業,272 通訊傳播設備製造業,01,23804999
C.製造業,27 電腦、電子產品及光學製品製造業,273 視聽電子產品製造業,01,5906484
